source_file,source_sheet,project_name,park,stage,unit_code,unit_name,unit_type,category,building_type,price,price_with_finishing,price_per_sqm,bua,land_area,garden_area,roof_area,bedrooms,bathrooms,finishing,delivery_status,status,location,model,model_group_code,owner,comment,has_garden,has_roof
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-SV-135,<NA>,Villa,Villa,SV,114531610.0,,357911.28125,320.0,373.56,0.0,70.0,5.0,,<NA>,OFF PLAN - 4,Available,<NA>,SV-VILLA-5BR-320,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-SV-136,<NA>,Villa,Villa,SV,114528796.0,,357902.4875,320.0,373.53,0.0,70.0,5.0,,<NA>,OFF PLAN - 4,Available,<NA>,SV-VILLA-5BR-320,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-TH-131-C,<NA>,Townhouse,Town House,TH6,33897724.0,,188320.6888888889,180.0,120.0,0.0,15.0,3.0,,<NA>,OFF PLAN - 4,Available,<NA>,THMD-TOWNHOUSE MIDDLE-3BR+LR-180,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-TH-131-D,<NA>,Townhouse,Town House,TH6,33897724.0,,188320.6888888889,180.0,120.0,0.0,15.0,3.0,,<NA>,OFF PLAN - 4,Available,<NA>,THMD-TOWNHOUSE MIDDLE-3BR+LR-180,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-TH-132-B,<NA>,Townhouse,Town House,TH4,33897724.0,,188320.6888888889,180.0,120.0,0.0,15.0,3.0,,<NA>,OFF PLAN - 4,Available,<NA>,THMD-TOWNHOUSE MIDDLE-3BR+LR-180,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-TH-132-C,<NA>,Townhouse,Town House,TH4,33897724.0,,188320.6888888889,180.0,120.0,0.0,15.0,3.0,,<NA>,OFF PLAN - 4,Available,<NA>,THMD-TOWNHOUSE MIDDLE-3BR+LR-180,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,lvls,<NA>,SM,<NA>,LV-SM-TH-133-B,<NA>,Townhouse,Town House,TH4,33897724.0,,188320.6888888889,180.0,120.0,0.0,15.0,3.0,,<NA>,OFF PLAN - 4,Available,<NA>,THMD-TOWNHOUSE MIDDLE-3BR+LR-180,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M-12-A0-1,<NA>,<NA>,Garden Millennial,M,14847995.0,,134981.77272727274,110.0,0.0,122.49,0.0,2.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M-Mill-Garden-Corner-2 BR-110,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M-12-A0-4,<NA>,<NA>,Garden Millennial,M,15728603.0,,131071.69166666667,120.0,0.0,131.87,0.0,2.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M-Mill-Garden-Corner-2 BR-120,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M-13-A0-4,<NA>,<NA>,Garden Millennial,M,14365966.0,,110507.43076923076,130.0,0.0,57.46,0.0,2.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M-Mill-Garden-Middle-2 BR-130,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M2-15-A0-1,<NA>,<NA>,Garden Millennial,M2,15480544.0,,134613.42608695652,115.0,0.0,125.02,0.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M2-Mill 2-Garden-Corner-3 BR-115,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M2-15-A0-4,<NA>,<NA>,Garden Millennial,M2,15478738.0,,134597.72173913044,115.0,0.0,124.87,0.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M2-Mill 2-Garden-Corner-3 BR-115,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M2-16-B0-4,<NA>,<NA>,Garden Millennial,M2,16264096.0,,141426.92173913043,115.0,0.0,122.59,0.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M2-Mill 2-Garden-Corner-3 BR-115,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-M2-16-B4-4,<NA>,<NA>,Millennial,M2,12992598.0,,99943.06153846154,130.0,0.0,0.0,0.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,M2-Mill 2-Typical-Corner-3 BR-130,,<NA>,<NA>,False,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-iV-01-A0-2,<NA>,Villa,I-Villa Garden,iV,22033180.0,,107478.9268292683,205.0,0.0,111.86,0.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,iV-iV-Garden-Corner-3 BR-205,,<NA>,<NA>,True,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-iV-01-B2-2,<NA>,Apartment,Apartment,iV,12678923.0,,105657.69166666667,120.0,0.0,0.0,0.0,2.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,iV-Apartment-Middle-2 BR-120,,<NA>,<NA>,False,False
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-iV-01-B3-3,<NA>,Villa,I-Villa Roof,iV,22520094.0,,88314.09411764707,255.0,0.0,0.0,25.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,iV-iV-Roof-Corner-3 BR-255,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-iV-04-B3-2,<NA>,Villa,I-Villa Roof,iV,22642661.0,,98446.35217391304,230.0,0.0,0.0,15.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,iV-iV-Roof-Middle-3 BR-230,,<NA>,<NA>,False,True
9-3-2026 (1).xlsx,aliva,<NA>,Club Park,<NA>,C-iV-06-A0-2,<NA>,Villa,I-Villa Garden,iV,23542691.0,,114842.39512195122,205.0,0.0,111.86,0.0,3.0,,<NA>,OFF PLAN - 4.5,Available,<NA>,iV-iV-Garden-Corner-3 BR-205,,<NA>,<NA>,True,False
