source_file,source_sheet,project_name,unit_code,unit_type,price,bua,land_area,garden_area,roof_area,bedrooms,bathrooms,finishing,delivery_status,status,location,price_per_sqm,has_garden,has_roof
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-SV-135,Villa,114531610.0,320.0,373.56,0.0,70.0,,,,OFF PLAN - 4,Available,,357911.28125,False,True
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-SV-136,Villa,114528796.0,320.0,373.53,0.0,70.0,,,,OFF PLAN - 4,Available,,357902.4875,False,True
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-TH-131-C,Town House,33897724.0,180.0,120.0,0.0,15.0,,,,OFF PLAN - 4,Available,,188320.6888888889,False,True
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-TH-131-D,Town House,33897724.0,180.0,120.0,0.0,15.0,,,,OFF PLAN - 4,Available,,188320.6888888889,False,True
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-TH-132-B,Town House,33897724.0,180.0,120.0,0.0,15.0,,,,OFF PLAN - 4,Available,,188320.6888888889,False,True
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-TH-132-C,Town House,33897724.0,180.0,120.0,0.0,15.0,,,,OFF PLAN - 4,Available,,188320.6888888889,False,True
9-3-2026 (1).xlsx,lvls,Phase-2,LV-SM-TH-133-B,Town House,33897724.0,180.0,120.0,0.0,15.0,,,,OFF PLAN - 4,Available,,188320.6888888889,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M-12-A0-1,Garden Millennial,14847995.0,110.0,0.0,122.49,0.0,,,,OFF PLAN - 4.5,Available,,134981.77272727274,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M-12-A0-4,Garden Millennial,15728603.0,120.0,0.0,131.87,0.0,,,,OFF PLAN - 4.5,Available,,131071.69166666667,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M-13-A0-4,Garden Millennial,14365966.0,130.0,0.0,57.46,0.0,,,,OFF PLAN - 4.5,Available,,110507.43076923076,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M2-15-A0-1,Garden Millennial,15480544.0,115.0,0.0,125.02,0.0,,,,OFF PLAN - 4.5,Available,,134613.42608695652,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M2-15-A0-4,Garden Millennial,15478738.0,115.0,0.0,124.87,0.0,,,,OFF PLAN - 4.5,Available,,134597.72173913044,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M2-16-B0-4,Garden Millennial,16264096.0,115.0,0.0,122.59,0.0,,,,OFF PLAN - 4.5,Available,,141426.92173913043,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-M2-16-B4-4,Millennial,12992598.0,130.0,0.0,0.0,0.0,,,,OFF PLAN - 4.5,Available,,99943.06153846154,False,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-01-A0-2,I-Villa Garden,22033180.0,205.0,0.0,111.86,0.0,,,,OFF PLAN - 4.5,Available,,107478.9268292683,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-01-B2-2,Apartment,12678923.0,120.0,0.0,0.0,0.0,,,,OFF PLAN - 4.5,Available,,105657.69166666667,False,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-01-B3-3,I-Villa Roof,22520094.0,255.0,0.0,0.0,25.0,,,,OFF PLAN - 4.5,Available,,88314.09411764707,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-04-B3-2,I-Villa Roof,22642661.0,230.0,0.0,0.0,15.0,,,,OFF PLAN - 4.5,Available,,98446.35217391304,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-06-A0-2,I-Villa Garden,23542691.0,205.0,0.0,111.86,0.0,,,,OFF PLAN - 4.5,Available,,114842.39512195122,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-06-B0-3,I-Villa Garden,22893988.0,205.0,0.0,120.08,0.0,,,,OFF PLAN - 4.5,Available,,111677.99024390244,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-06-B3-3,I-Villa Roof,22650725.0,255.0,0.0,0.0,25.0,,,,OFF PLAN - 4.5,Available,,88826.37254901961,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-07-A0-2,I-Villa Garden,22452489.0,205.0,0.0,111.86,0.0,,,,OFF PLAN - 4.5,Available,,109524.33658536585,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-07-B0-3,I-Villa Garden,22789355.0,205.0,0.0,111.97,0.0,,,,OFF PLAN - 4.5,Available,,111167.58536585367,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-44-A3-2,I-Villa Roof,21431504.0,255.0,0.0,0.0,25.0,,,,OFF PLAN - 4.5,Available,,84045.1137254902,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-44-A3-4,I-Villa Roof,20334851.0,230.0,0.0,0.0,15.0,,,,OFF PLAN - 4.5,Available,,88412.39565217392,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iV-44-B3-4,I-Villa Roof,21866940.0,255.0,0.0,0.0,25.0,,,,OFF PLAN - 4.5,Available,,85752.70588235294,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-03-A3-1,I-Villa Roof,20960285.0,255.0,0.0,0.0,60.0,,,,OFF PLAN - 4.5,Available,,82197.19607843137,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-03-B0-3,I-Villa Garden,25710064.0,230.0,0.0,117.1,0.0,,,,OFF PLAN - 4.5,Available,,111782.88695652173,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-03-B2-2,Apartment,13638817.0,115.0,0.0,0.0,0.0,,,,OFF PLAN - 4.5,Available,,118598.40869565218,False,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-03-B3-2,I-Villa Roof,24640524.0,255.0,0.0,0.0,55.0,,,,OFF PLAN - 4.5,Available,,96629.50588235294,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-05-A3-4,I-Villa Roof,20568393.0,255.0,0.0,0.0,60.0,,,,OFF PLAN - 4.5,Available,,80660.36470588236,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-08-A2-2,Apartment,12797781.0,115.0,0.0,0.0,0.0,,,,OFF PLAN - 4.5,Available,,111285.05217391305,False,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-31-A0-2,I-Villa Garden,24890994.0,230.0,0.0,123.49,0.0,,,,OFF PLAN - 4.5,Available,,108221.71304347826,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-31-A0-3,I-Villa Garden,24533549.0,230.0,0.0,113.66,0.0,,,,OFF PLAN - 4.5,Available,,106667.60434782608,True,False
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-32-A3-3,I-Villa Roof,20525656.0,255.0,0.0,0.0,55.0,,,,OFF PLAN - 4.5,Available,,80492.76862745098,False,True
9-3-2026 (1).xlsx,aliva,2026-08-25,C-iVGR2P-34-A0-2,I-Villa Garden,24533549.0,230.0,0.0,113.66,0.0,,,,OFF PLAN - 4.5,Available,,106667.60434782608,True,False
